"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"152","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","96","LocalVariableCouldBeFinal: Local variable 'videoId' could be declared final","Code Style","LocalVariableCouldBeFinal"
"153","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","97","LocalVariableCouldBeFinal: Local variable 'list' could be declared final","Code Style","LocalVariableCouldBeFinal"
"154","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","4","100","UnnecessaryFullyQualifiedName: Unnecessary qualifier 'Mockito': 'when' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"155","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","101","LocalVariableCouldBeFinal: Local variable 'result' could be declared final","Code Style","LocalVariableCouldBeFinal"
"156","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","102","JUnitAssertionsShouldIncludeMessage: JUnit assertions should include a message","Best Practices","JUnitAssertionsShouldIncludeMessage"
"157","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","104","JUnitAssertionsShouldIncludeMessage: JUnit assertions should include a message","Best Practices","JUnitAssertionsShouldIncludeMessage"
"158","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","110","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"159","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","110","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"160","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","110","JUnitTestContainsTooManyAsserts: Unit tests should not contain more than 1 assert(s).","Best Practices","JUnitTestContainsTooManyAsserts"
"161","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","111","LocalVariableCouldBeFinal: Local variable 'commentRepo' could be declared final","Code Style","LocalVariableCouldBeFinal"
"162","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","112","LocalVariableCouldBeFinal: Local variable 'service' could be declared final","Code Style","LocalVariableCouldBeFinal"
"163","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","114","LocalVariableCouldBeFinal: Local variable 'commentId' could be declared final","Code Style","LocalVariableCouldBeFinal"
"164","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","4","115","UnnecessaryFullyQualifiedName: Unnecessary qualifier 'Mockito': 'when' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"165","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","126","AvoidUncheckedExceptionsInSignatures: A method or constructor should not explicitly declare unchecked exceptions in its 'throws' clause","Design","AvoidUncheckedExceptionsInSignatures"
"166","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","126","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"167","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","126","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"168","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","126","JUnitTestContainsTooManyAsserts: Unit tests should not contain more than 1 assert(s).","Best Practices","JUnitTestContainsTooManyAsserts"
"169","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","127","LocalVariableCouldBeFinal: Local variable 'commentRepo' could be declared final","Code Style","LocalVariableCouldBeFinal"
"170","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","128","LocalVariableCouldBeFinal: Local variable 'service' could be declared final","Code Style","LocalVariableCouldBeFinal"
"171","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","130","LocalVariableCouldBeFinal: Local variable 'commentId' could be declared final","Code Style","LocalVariableCouldBeFinal"
"172","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","4","131","UnnecessaryFullyQualifiedName: Unnecessary qualifier 'Mockito': 'when' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"173","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","132","LocalVariableCouldBeFinal: Local variable 'result' could be declared final","Code Style","LocalVariableCouldBeFinal"
"174","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","133","JUnitAssertionsShouldIncludeMessage: JUnit assertions should include a message","Best Practices","JUnitAssertionsShouldIncludeMessage"
"175","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","138","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"176","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","138","JUnit5TestShouldBePackagePrivate: JUnit 5 tests should be package-private.","Best Practices","JUnit5TestShouldBePackagePrivate"
"177","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","138","JUnitTestContainsTooManyAsserts: Unit tests should not contain more than 1 assert(s).","Best Practices","JUnitTestContainsTooManyAsserts"
"178","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","139","LocalVariableCouldBeFinal: Local variable 'exception' could be declared final","Code Style","LocalVariableCouldBeFinal"
"179","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","140","LocalVariableCouldBeFinal: Local variable 'response' could be declared final","Code Style","LocalVariableCouldBeFinal"
"180","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","142","JUnitAssertionsShouldIncludeMessage: JUnit assertions should include a message","Best Practices","JUnitAssertionsShouldIncludeMessage"
"181","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","143","LawOfDemeter: Call to `getBody` on foreign value `response` (degree 1)","Design","LawOfDemeter"
"182","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","143","LocalVariableCouldBeFinal: Local variable 'errorResponse' could be declared final","Code Style","LocalVariableCouldBeFinal"
"183","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","144","JUnitAssertionsShouldIncludeMessage: JUnit assertions should include a message","Best Practices","JUnitAssertionsShouldIncludeMessage"
"184","com.mediaplayer.service","src/test/java/com/mediaplayer/service/commentServiceImplStub.java","3","146","JUnitAssertionsShouldIncludeMessage: JUnit assertions should include a message","Best Practices","JUnitAssertionsShouldIncludeMessage"
